Inferior,Superior,Cuota,Porciento
0.01,6942.2,0,1.92
6942.21,58922.16,133.28,6.4
6942.21,58922.16,133.28,6.4
58922.17,103550.44,3460.01,10.88
103550.45,120372.83,8315.57,16
120372.84,144119.23,11007.14,17.92
144119.24,290667.75,15262.49,21.36
290667.76,458132.29,46565.26,23.52
458132.3,874650,85952.92,30
874650.01,1166200,210908.23,32
1166200.01,3498600,304204.21,34
3498600.01,,1097220.21,35
